ite 249, loss is 33.04219055175781
ite 250, loss is 32.76621627807617
ite 251, loss is 32.79949951171875
ite 252, loss is 32.66691589355469
ite 253, loss is 32.16058349609375
ite 254, loss is 32.36634063720703
ite 255, loss is 32.18755340576172
ite 256, loss is 32.00557327270508
ite 257, loss is 31.840641021728516
ite 258, loss is 31.6856746673584
ite 259, loss is 32.052772521972656
ite 260, loss is 32.94755172729492
ite 261, loss is 35.39674377441406
ite 262, loss is 39.312374114990234
ite 263, loss is 41.90092086791992
ite 264, loss is 33.32944869995117
ite 265, loss is 38.466514587402344
ite 266, loss is 35.77003860473633
ite 267, loss is 35.64828109741211
ite 268, loss is 33.91356658935547
ite 269, loss is 34.96202087402344
ite 270, loss is 33.30565643310547
ite 271, loss is 33.66584014892578
ite 272, loss is 32.97189712524414
ite 273, loss is 32.65296936035156
ite 274, loss is 32.3508186340332
ite 275, loss is 32.21636962890625
ite 276, loss is 31.592069625854492
ite 277, loss is 31.789377212524414
ite 278, loss is 31.2291202545166
ite 279, loss is 31.07241439819336
ite 280, loss is 31.106477737426758
ite 281, loss is 30.535743713378906
ite 282, loss is 30.642494201660156
ite 283, loss is 30.380992889404297
ite 284, loss is 30.079980850219727
ite 285, loss is 30.060213088989258
ite 286, loss is 29.794736862182617
ite 287, loss is 29.642118453979492
ite 288, loss is 29.523754119873047
ite 289, loss is 29.313167572021484
ite 290, loss is 29.174123764038086
ite 291, loss is 29.06984519958496
ite 292, loss is 28.84766960144043
ite 293, loss is 28.82455825805664
ite 294, loss is 28.59866714477539
ite 295, loss is 28.520143508911133
ite 296, loss is 28.41666603088379
ite 297, loss is 28.206323623657227
ite 298, loss is 28.154664993286133
ite 299, loss is 27.973970413208008
ite 300, loss is 27.882099151611328
ite 301, loss is 27.75103187561035
ite 302, loss is 27.616689682006836
ite 303, loss is 27.521549224853516
ite 304, loss is 27.379451751708984
ite 305, loss is 27.27728843688965
ite 306, loss is 27.16434097290039
ite 307, loss is 27.040945053100586
ite 308, loss is 26.94375228881836
ite 309, loss is 26.826396942138672
ite 310, loss is 26.718650817871094
ite 311, loss is 26.617666244506836
ite 312, loss is 26.523630142211914
ite 313, loss is 26.439558029174805
ite 314, loss is 26.398941040039062
ite 315, loss is 26.489049911499023
ite 316, loss is 26.77093505859375
ite 317, loss is 27.967599868774414
ite 318, loss is 28.6083984375
ite 319, loss is 29.245195388793945
ite 320, loss is 26.45856285095215
ite 321, loss is 27.177778244018555
ite 322, loss is 27.747203826904297
ite 323, loss is 26.227642059326172
ite 324, loss is 27.158138275146484
ite 325, loss is 26.021419525146484
ite 326, loss is 26.77051544189453
ite 327, loss is 26.159311294555664
ite 328, loss is 25.736005783081055
ite 329, loss is 25.898540496826172
ite 330, loss is 25.499752044677734
ite 331, loss is 25.60402488708496
ite 332, loss is 25.158971786499023
ite 333, loss is 25.213327407836914
ite 334, loss is 24.9206600189209
ite 335, loss is 25.030384063720703
ite 336, loss is 24.650156021118164
ite 337, loss is 24.74781036376953
ite 338, loss is 24.40885353088379
ite 339, loss is 24.55459976196289
ite 340, loss is 24.265308380126953
ite 341, loss is 24.268009185791016
ite 342, loss is 24.098894119262695
ite 343, loss is 24.20231819152832
ite 344, loss is 24.104816436767578
ite 345, loss is 24.419530868530273
ite 346, loss is 24.58955955505371
ite 347, loss is 25.172855377197266
ite 348, loss is 24.915456771850586
ite 349, loss is 24.339500427246094
ite 350, loss is 24.79032325744629
ite 351, loss is 25.184062957763672
ite 352, loss is 24.146711349487305
ite 353, loss is 23.450815200805664
ite 354, loss is 24.188480377197266
ite 355, loss is 23.954578399658203
ite 356, loss is 23.13229751586914
ite 357, loss is 23.322616577148438
ite 358, loss is 23.387712478637695
ite 359, loss is 22.8911075592041
ite 360, loss is 23.099916458129883
ite 361, loss is 23.107938766479492
ite 362, loss is 22.633163452148438
ite 363, loss is 22.784835815429688
ite 364, loss is 22.788455963134766
ite 365, loss is 22.418745040893555
ite 366, loss is 22.536985397338867
ite 367, loss is 22.31711769104004
ite 368, loss is 22.040573120117188
ite 369, loss is 22.250822067260742
ite 370, loss is 22.05826187133789
ite 371, loss is 21.801494598388672
ite 372, loss is 21.928203582763672
ite 373, loss is 21.80135726928711
ite 374, loss is 21.593233108520508
ite 375, loss is 21.660402297973633
ite 376, loss is 21.636476516723633
ite 377, loss is 21.635141372680664
ite 378, loss is 21.797260284423828
ite 379, loss is 22.291152954101562
ite 380, loss is 22.647802352905273
ite 381, loss is 23.102964401245117
ite 382, loss is 22.564512252807617
ite 383, loss is 22.453744888305664
ite 384, loss is 23.52349281311035
ite 385, loss is 25.051528930664062
ite 386, loss is 22.556806564331055
ite 387, loss is 22.435808181762695
ite 388, loss is 23.163782119750977
ite 389, loss is 21.497365951538086
ite 390, loss is 22.632478713989258
ite 391, loss is 21.201295852661133
ite 392, loss is 21.9722843170166
ite 393, loss is 20.98198127746582
ite 394, loss is 21.526912689208984
ite 395, loss is 20.92296600341797
ite 396, loss is 21.194976806640625
ite 397, loss is 20.730958938598633
ite 398, loss is 20.80059242248535
ite 399, loss is 20.621728897094727
ite 400, loss is 20.544137954711914
ite 401, loss is 20.356307983398438
ite 402, loss is 20.340166091918945
ite 403, loss is 20.18045997619629
ite 404, loss is 20.09552574157715
ite 405, loss is 20.00238037109375
ite 406, loss is 19.876243591308594
ite 407, loss is 19.83594512939453
ite 408, loss is 19.720922470092773
ite 409, loss is 19.628637313842773
ite 410, loss is 19.551013946533203
ite 411, loss is 19.486730575561523
ite 412, loss is 19.35426902770996
ite 413, loss is 19.34294319152832
ite 414, loss is 19.212514877319336
ite 415, loss is 19.195297241210938
ite 416, loss is 19.05064582824707
ite 417, loss is 19.076025009155273
ite 418, loss is 18.927946090698242
ite 419, loss is 18.900066375732422
ite 420, loss is 18.810428619384766
ite 421, loss is 18.756168365478516
ite 422, loss is 18.705446243286133
ite 423, loss is 18.603830337524414
ite 424, loss is 18.589628219604492
ite 425, loss is 18.495824813842773
ite 426, loss is 18.468740463256836
ite 427, loss is 18.46807289123535
ite 428, loss is 18.621673583984375
ite 429, loss is 19.364452362060547
ite 430, loss is 22.501020431518555
ite 431, loss is 26.347620010375977
ite 432, loss is 30.049097061157227
ite 433, loss is 21.983680725097656
ite 434, loss is 25.51380729675293
ite 435, loss is 21.897552490234375
ite 436, loss is 24.160810470581055
ite 437, loss is 20.394018173217773
ite 438, loss is 22.941129684448242
ite 439, loss is 20.683469772338867
ite 440, loss is 20.751445770263672
ite 441, loss is 21.207351684570312
ite 442, loss is 19.763944625854492
ite 443, loss is 20.500972747802734
ite 444, loss is 19.725669860839844
ite 445, loss is 19.604970932006836
ite 446, loss is 19.618980407714844
ite 447, loss is 19.17258644104004
ite 448, loss is 19.06241226196289
ite 449, loss is 19.061050415039062
ite 450, loss is 18.652873992919922
ite 451, loss is 18.818862915039062
ite 452, loss is 18.49812126159668
ite 453, loss is 18.3570556640625
ite 454, loss is 18.391250610351562
ite 455, loss is 18.032325744628906
ite 456, loss is 18.13217544555664
ite 457, loss is 17.941699981689453
ite 458, loss is 17.804019927978516
ite 459, loss is 17.767372131347656
ite 460, loss is 17.619709014892578
ite 461, loss is 17.567737579345703
ite 462, loss is 17.487916946411133
ite 463, loss is 17.391023635864258
ite 464, loss is 17.319538116455078
ite 465, loss is 17.2584285736084
ite 466, loss is 17.170551300048828
ite 467, loss is 17.116395950317383
ite 468, loss is 17.028255462646484
ite 469, loss is 16.986129760742188
ite 470, loss is 16.892929077148438
ite 471, loss is 16.85022735595703
ite 472, loss is 16.77473258972168
ite 473, loss is 16.693283081054688
ite 474, loss is 16.67446517944336
ite 475, loss is 16.58462905883789
ite 476, loss is 16.526132583618164
ite 477, loss is 16.486631393432617
ite 478, loss is 16.426782608032227
ite 479, loss is 16.364158630371094
ite 480, loss is 16.317033767700195
ite 481, loss is 16.269001007080078
ite 482, loss is 16.20492172241211
ite 483, loss is 16.15925407409668
ite 484, loss is 16.108972549438477
ite 485, loss is 16.05826187133789
ite 486, loss is 16.0013427734375
ite 487, loss is 15.958600997924805
ite 488, loss is 15.916786193847656
ite 489, loss is 15.865593910217285
ite 490, loss is 15.8211088180542
ite 491, loss is 15.798063278198242
ite 492, loss is 15.828556060791016
ite 493, loss is 16.062063217163086
ite 494, loss is 16.709177017211914
ite 495, loss is 19.5233097076416
ite 496, loss is 20.103321075439453
ite 497, loss is 18.66131019592285
ite 498, loss is 16.60516929626465
ite 499, loss is 18.126056671142578
ite 500, loss is 17.42843246459961
ite 501, loss is 16.872468948364258
ite 502, loss is 17.409387588500977
ite 503, loss is 16.057119369506836
ite 504, loss is 17.163766860961914
ite 505, loss is 15.901522636413574
ite 506, loss is 16.667160034179688
ite 507, loss is 16.048919677734375
ite 508, loss is 15.978766441345215
ite 509, loss is 16.147146224975586
ite 510, loss is 15.74284553527832
ite 511, loss is 15.789719581604004
ite 512, loss is 15.5826997756958
ite 513, loss is 15.639395713806152
ite 514, loss is 15.326933860778809
ite 515, loss is 15.502130508422852
ite 516, loss is 15.175553321838379
ite 517, loss is 15.313594818115234
ite 518, loss is 15.09144115447998
ite 519, loss is 15.172115325927734
ite 520, loss is 14.925457954406738
ite 521, loss is 15.04098129272461
ite 522, loss is 14.861723899841309
ite 523, loss is 14.846235275268555
ite 524, loss is 14.795832633972168
ite 525, loss is 14.727561950683594
ite 526, loss is 14.713812828063965
ite 527, loss is 14.583653450012207
ite 528, loss is 14.642877578735352
ite 529, loss is 14.509557723999023
ite 530, loss is 14.486001014709473
ite 531, loss is 14.439508438110352
ite 532, loss is 14.38365364074707
ite 533, loss is 14.351110458374023
ite 534, loss is 14.272539138793945
ite 535, loss is 14.274587631225586
ite 536, loss is 14.200484275817871
ite 537, loss is 14.196161270141602
ite 538, loss is 14.185665130615234
ite 539, loss is 14.265068054199219
ite 540, loss is 14.5635404586792
ite 541, loss is 15.356476783752441
