ite 357, loss is 24.479583740234375
ite 358, loss is 24.35146141052246
ite 359, loss is 24.532468795776367
ite 360, loss is 24.575992584228516
ite 361, loss is 24.85984992980957
ite 362, loss is 25.265594482421875
ite 363, loss is 25.068429946899414
ite 364, loss is 24.24465560913086
ite 365, loss is 23.673381805419922
ite 366, loss is 23.908079147338867
ite 367, loss is 24.145137786865234
ite 368, loss is 23.70053482055664
ite 369, loss is 23.42718505859375
ite 370, loss is 23.438674926757812
ite 371, loss is 23.523128509521484
ite 372, loss is 23.397703170776367
ite 373, loss is 23.013830184936523
ite 374, loss is 23.0063419342041
ite 375, loss is 23.042619705200195
ite 376, loss is 23.037607192993164
ite 377, loss is 23.23457145690918
ite 378, loss is 24.253786087036133
ite 379, loss is 26.24701690673828
ite 380, loss is 31.987035751342773
ite 381, loss is 28.263835906982422
ite 382, loss is 24.118738174438477
ite 383, loss is 26.828929901123047
ite 384, loss is 25.222522735595703
ite 385, loss is 25.057334899902344
ite 386, loss is 24.738080978393555
ite 387, loss is 23.60865020751953
ite 388, loss is 24.3388614654541
ite 389, loss is 23.18048858642578
ite 390, loss is 23.68429183959961
ite 391, loss is 22.752872467041016
ite 392, loss is 23.294567108154297
ite 393, loss is 22.63932991027832
ite 394, loss is 22.65406608581543
ite 395, loss is 22.41419792175293
ite 396, loss is 22.284011840820312
ite 397, loss is 22.213157653808594
ite 398, loss is 21.889694213867188
ite 399, loss is 21.98308753967285
ite 400, loss is 21.586816787719727
ite 401, loss is 21.79020881652832
ite 402, loss is 21.3133487701416
ite 403, loss is 21.49528694152832
ite 404, loss is 21.149721145629883
ite 405, loss is 21.27683448791504
ite 406, loss is 20.939550399780273
ite 407, loss is 21.01371192932129
ite 408, loss is 20.74517822265625
ite 409, loss is 20.83753204345703
ite 410, loss is 20.593229293823242
ite 411, loss is 20.668201446533203
ite 412, loss is 20.453325271606445
ite 413, loss is 20.480514526367188
ite 414, loss is 20.282350540161133
ite 415, loss is 20.277488708496094
ite 416, loss is 20.145893096923828
ite 417, loss is 20.127717971801758
ite 418, loss is 20.124555587768555
ite 419, loss is 20.235763549804688
ite 420, loss is 20.832853317260742
ite 421, loss is 21.991283416748047
ite 422, loss is 25.2779541015625
ite 423, loss is 24.030635833740234
ite 424, loss is 21.59882164001465
ite 425, loss is 20.95584487915039
ite 426, loss is 22.306800842285156
ite 427, loss is 21.40901756286621
ite 428, loss is 21.897310256958008
ite 429, loss is 22.24791145324707
ite 430, loss is 21.357234954833984
ite 431, loss is 20.94942855834961
ite 432, loss is 20.70476722717285
ite 433, loss is 20.42982292175293
ite 434, loss is 20.579364776611328
ite 435, loss is 20.15204429626465
ite 436, loss is 20.09500503540039
ite 437, loss is 19.795602798461914
ite 438, loss is 19.747230529785156
ite 439, loss is 19.61760711669922
ite 440, loss is 19.366363525390625
ite 441, loss is 19.36935043334961
ite 442, loss is 19.231061935424805
ite 443, loss is 19.12619972229004
ite 444, loss is 19.000749588012695
ite 445, loss is 19.006511688232422
ite 446, loss is 18.738910675048828
ite 447, loss is 18.846641540527344
ite 448, loss is 18.595937728881836
ite 449, loss is 18.59749984741211
ite 450, loss is 18.504003524780273
ite 451, loss is 18.38303565979004
ite 452, loss is 18.397247314453125
ite 453, loss is 18.20923614501953
ite 454, loss is 18.214445114135742
ite 455, loss is 18.10182762145996
ite 456, loss is 18.04595947265625
ite 457, loss is 17.974056243896484
ite 458, loss is 17.899568557739258
ite 459, loss is 17.844249725341797
ite 460, loss is 17.767288208007812
ite 461, loss is 17.714826583862305
ite 462, loss is 17.626787185668945
ite 463, loss is 17.595090866088867
ite 464, loss is 17.54678726196289
ite 465, loss is 17.509479522705078
ite 466, loss is 17.568653106689453
ite 467, loss is 17.854665756225586
ite 468, loss is 18.881513595581055
ite 469, loss is 21.82390785217285
ite 470, loss is 29.39812469482422
ite 471, loss is 30.915672302246094
ite 472, loss is 21.958786010742188
ite 473, loss is 25.977014541625977
ite 474, loss is 23.554906845092773
ite 475, loss is 22.107912063598633
ite 476, loss is 21.74180030822754
ite 477, loss is 22.0272274017334
ite 478, loss is 19.74688720703125
ite 479, loss is 21.590694427490234
ite 480, loss is 19.43941879272461
ite 481, loss is 20.421642303466797
ite 482, loss is 19.436782836914062
ite 483, loss is 19.143070220947266
ite 484, loss is 19.55329132080078
ite 485, loss is 18.352001190185547
ite 486, loss is 19.00968360900879
ite 487, loss is 18.418384552001953
ite 488, loss is 18.203523635864258
ite 489, loss is 18.269075393676758
ite 490, loss is 17.84421730041504
ite 491, loss is 17.893848419189453
ite 492, loss is 17.778383255004883
ite 493, loss is 17.490772247314453
ite 494, loss is 17.619705200195312
ite 495, loss is 17.271560668945312
ite 496, loss is 17.27028465270996
ite 497, loss is 17.16094970703125
ite 498, loss is 17.04167366027832
ite 499, loss is 17.036893844604492
ite 500, loss is 16.845294952392578
ite 501, loss is 16.779756546020508
ite 502, loss is 16.73688316345215
ite 503, loss is 16.59539222717285
ite 504, loss is 16.589942932128906
ite 505, loss is 16.456998825073242
ite 506, loss is 16.421934127807617
ite 507, loss is 16.350933074951172
ite 508, loss is 16.25164222717285
ite 509, loss is 16.226293563842773
ite 510, loss is 16.118335723876953
ite 511, loss is 16.08596420288086
ite 512, loss is 16.012861251831055
ite 513, loss is 15.939892768859863
ite 514, loss is 15.898263931274414
ite 515, loss is 15.823220252990723
ite 516, loss is 15.783574104309082
ite 517, loss is 15.713288307189941
ite 518, loss is 15.660691261291504
ite 519, loss is 15.610169410705566
ite 520, loss is 15.557340621948242
ite 521, loss is 15.50203800201416
ite 522, loss is 15.450676918029785
ite 523, loss is 15.403306007385254
ite 524, loss is 15.346064567565918
ite 525, loss is 15.303146362304688
ite 526, loss is 15.250787734985352
ite 527, loss is 15.207118034362793
ite 528, loss is 15.154192924499512
ite 529, loss is 15.11274528503418
ite 530, loss is 15.062590599060059
ite 531, loss is 15.016478538513184
ite 532, loss is 14.974615097045898
ite 533, loss is 14.927644729614258
ite 534, loss is 14.885557174682617
ite 535, loss is 14.84085750579834
ite 536, loss is 14.798186302185059
ite 537, loss is 14.753870010375977
ite 538, loss is 14.712821960449219
ite 539, loss is 14.6682710647583
ite 540, loss is 14.629118919372559
ite 541, loss is 14.586365699768066
ite 542, loss is 14.547516822814941
ite 543, loss is 14.50607967376709
ite 544, loss is 14.468818664550781
ite 545, loss is 14.43165111541748
ite 546, loss is 14.402776718139648
ite 547, loss is 14.391743659973145
ite 548, loss is 14.43982219696045
ite 549, loss is 14.674651145935059
ite 550, loss is 15.45949649810791
ite 551, loss is 17.760828018188477
